lncRNA,disease
LINC01128,Medulloblastoma
LINC01128,Alzheimer disease
LINC01128,Colon cancer
LINC01128,Amyotrophic lateral sclerosis
LINC01128,Colorectal cancer
LINC01128,Spinocerebellar ataxia type 1
LINC01128,Lymphoblastic lymphoma
LINC01128,Thyroid carcinoma anaplastic
LINC01128,Bladder cancer
LINC01128,Breast cancer
LINC01128,Breast neoplasms
LINC01128,Melanoma
LINC01128,Thyroid adenomas
LINC01128,Glioblastoma
LINC01128,Glioma
LINC01128,Malignant glioma
LINC01128,Notch-induced t-cell acute lymphoblastic leukemia
LINC01128,T-cell acute lymphoblastic leukemia
LINC01128,Cowden disease
LINC01128,Hepatocellular carcinoma
LINC01128,Neuroblastoma
LINC01128,Lymphosarcoma
LINC01128,Acute myelogenous leukemia
LINC01128,Acute myeloid leukemia
LINC01128,Multiple myeloma
LINC01128,Esophageal squamous cell carcinoma
LINC01128,Chronic pain
LINC01128,Malignant lymphoma
LINC01128,Encephalitis japanese
LINC01128,Lung cancer
LINC01128,Fragile x syndrome
LINC01128,Malignant melanoma
LINC01128,Multiple sclerosis relapsing-remitting
LINC01128,Coronary artery disease
LINC01128,Myasthenia gravis autoimmune experimental
LINC01128,B-cell lymphoma
LINC01128,B-cell non-hodgkin lymphoma
LINC01128,Crohn disease
LINC01128,Intermediate coronary syndrome
LINC01128,Nasopharyngeal carcinoma
LINC01128,Uterine cervical neoplasms
LINC01128,Stroke lacunar
LINC01128,Cardiac hypertrophy
LINC01128,Myocardial reperfusion injury
LINC01128,Gastric cancer
LINC01128,Atherosclerosis
LINC01128,Relapsing-remitting multiple sclerosis
LINC01128,Adenocarcinoma of esophagus
LINC01128,Esophageal adenocarcinoma
LINC01128,Nasopharynx carcinoma
LINC01128,Uterine fibroid
LINC01128,Williams syndrome
LINC01128,Infection
LINC01128,Stomach cancer
LINC01128,Chronic lymphocytic leukemia
LINC01128,Carotid stenosis
LINC01128,Schizophrenia
LINC01128,T-cell leukemia
LINC01128,Acute myelocytic leukemia
LINC01128,Pelvic organ prolapse
LINC02593,Tongue squamous cell carcinoma
LINC02593,Oral squamous cell carcinoma
LINC02593,Medulloblastoma
LINC02593,Anencephaly
LINC02593,Anaplastic thyroid carcinoma
LINC02593,Alzheimer disease
LINC02593,Fragile x syndrome
LINC02593,Pancreatic cancer
LINC02593,Melanoma
LINC02593,Glioblastoma
LINC02593,Astrocytoma
LINC02593,Gallbladder cancer
LINC02593,Non-small cell lung cancer
LINC02593,Cervical cancer
LINC02593,Renal carcinoma
LINC02593,Cholangiocarcinoma
LINC02593,Gallbladder carcinoma
LINC02593,Head and neck squamous cell carcinoma
LINC02593,Heart failure
LINC02593,Retinoblastoma
LINC02593,Osteoarthritis
LINC02593,Nasopharyngeal carcinoma
LINC02593,Prostatic neoplasms
LINC02593,Myocardial ischemia
LINC02593,Gastric cancer
LINC02593,Williams syndrome
LINC02593,Osteosarcoma
LINC02593,Pituitary adenoma
LINC02593,Carcinoma lung non-small-cell
LINC02593,Non-small cell lung adenocarcinoma
LINC02593,Hepatocellular carcinoma
LINC02593,Colorectal cancer
LINC02593,Cardiomegaly
LINC02593,Multiple sclerosis relapsing-remitting
LINC02593,Relapsing-remitting multiple sclerosis
LINC02593,Pancreatic neoplasms
LINC02593,Glioma
LINC02593,Lung cancer
LINC02593,Ovarian epithelial cancer
LINC02593,Papillary thyroid carcinoma
LINC01772,Diffuse large b cell lymphoma
LINC01772,Multiple sclerosis chronic progressive
LINC01772,Renal fibrosis
LINC01772,Precursor cell lymphoblastic leukemia-lymphoma
LINC01772,Pre-eclampsia
LINC01772,Alzheimer disease
LINC01772,Hypertension
LINC01772,Lung cancer
LINC01772,Kawasaki disease
LINC01772,Tuberous sclerosis
LINC01772,Down syndrome
LINC01772,Breast cancer
LINC01772,Breast neoplasms
LINC01772,Pituitary neoplasms
LINC01772,Melanoma
LINC01772,Atherosclerosis
LINC01772,Hepatitis B
LINC01772,Multiple sclerosis relapsing-remitting
LINC01772,Relapsing-remitting multiple sclerosis
LINC01772,Thyroid adenomas
LINC01772,Pulmonary tuberculosis
LINC01772,Glioblastoma
LINC01772,Glioblastoma multiforme
LINC01772,Coronary artery disease
LINC01772,Pancreatic ductal adenocarcinoma
LINC01772,Pituitary adenoma
LINC01772,Acute myocarditis
LINC01772,Scleroderma
LINC01772,Cervical cancer
LINC01772,HIV
LINC01772,Juvenile rheumatoid arthritis
LINC01772,Hepatocellular carcinoma
LINC01772,B-cell lymphoma
LINC01772,Leukemic b-cells
LINC01772,Hodgkin disease
LINC01772,Hodgkin lymphoma
LINC01772,Intermediate coronary syndrome
LINC01772,Colorectal cancer
LINC01772,Colorectal neoplasms
LINC01772,Cardiomegaly
LINC01772,Inflammation
LINC01772,Lung injury
LINC01772,Plaque atherosclerotic
LINC01783,Idiopathic pulmonary fibrosis
LINC01783,Multiple sclerosis chronic progressive
LINC01783,Gastric cancer
LINC01783,Stomach cancer
LINC01783,Alzheimer disease
LINC01783,Bladder cancer
LINC01783,Duchenne muscular dystrophy
LINC01783,Breast cancer
LINC01783,Breast neoplasms
LINC01783,Cancer
LINC01783,Invasive squamous cell carcinomas
LINC01783,Squamous cell carcinoma
LINC01783,Melanoma
LINC01783,Epithelial ovarian cancer
LINC01783,Multiple sclerosis relapsing-remitting
LINC01783,Prostate adenocarcinoma
LINC01783,Endometriosis
LINC01783,malignant glioma
LINC01783,Meningioma
LINC01783,Carcinoma lung non-small-cell
LINC01783,Papillary thyroid carcinoma
LINC01783,Adenocarcinoma of esophagus
LINC01783,Intrahepatic cholangiocarcinoma
LINC01783,Gastric carcinoma
LINC01783,Head and neck squamous cell carcinoma
LINC01783,Heart failure
LINC01783,Uveal melanoma
LINC01783,Hepatocellular carcinoma
LINC01783,Colorectal cancer
LINC01783,Ovarian epithelial cancer
LINC01783,Cardiac hypertrophy
LINC01783,Medulloblastoma
LINC01783,Choriocarcinoma
LINC01783,Cervical cancer
LINC01783,Diabetic nephropathies
LINC01783,Cardiomegaly
LINC01654,Medulloblastoma
LINC01654,Alzheimer disease
LINC01654,Acute leukemia
LINC01654,Lung cancer
LINC01654,Breast cancer
LINC01654,Breast neoplasms
LINC01654,Vascular diseases
LINC01654,Malignant melanoma
LINC01654,Melanoma
LINC01654,Ovarian cancer
LINC01654,Ovarian neoplasms
LINC01654,Glioblastoma
