miRNA,lncRNA
hsa-miR-186-5p,LINC01128
hsa-miR-19a-3p,LINC01128
hsa-miR-19b-3p,LINC01128
hsa-miR-208a-3p,LINC01128
hsa-miR-25-3p,LINC01128
hsa-miR-299-3p,LINC01128
hsa-miR-32-5p,LINC01128
hsa-miR-363-3p,LINC01128
hsa-miR-367-3p,LINC01128
hsa-miR-590-3p,LINC01128
hsa-miR-92a-3p,LINC01128
hsa-miR-92b-3p,LINC01128
hsa-miR-138-5p,LINC02593
hsa-miR-149-5p,LINC02593
hsa-miR-320b,LINC02593
hsa-miR-320c,LINC02593
hsa-miR-320d,LINC02593
hsa-miR-377-3p,LINC02593
hsa-miR-4429,LINC02593
hsa-miR-485-5p,LINC02593
hsa-miR-873-5p,LINC02593
hsa-miR-155-5p,LINC01772
hsa-miR-199a-5p,LINC01783
hsa-miR-199b-5p,LINC01783
hsa-miR-125a-5p,LINC01654
hsa-miR-125b-5p,LINC01654
hsa-miR-1271-5p,PINK1-AS
hsa-miR-134-5p,PINK1-AS
hsa-miR-141-3p,PINK1-AS
hsa-miR-200a-3p,PINK1-AS
hsa-miR-96-5p,PINK1-AS
hsa-miR-128-3p,LINC00339
hsa-miR-130a-3p,LINC00339
hsa-miR-130b-3p,LINC00339
hsa-miR-148a-3p,LINC00339
hsa-miR-148b-3p,LINC00339
hsa-miR-152-3p,LINC00339
hsa-miR-15a-5p,LINC00339
hsa-miR-15b-5p,LINC00339
hsa-miR-16-5p,LINC00339
hsa-miR-195-5p,LINC00339
hsa-miR-19a-3p,LINC00339
hsa-miR-19b-3p,LINC00339
hsa-miR-214-3p,LINC00339
hsa-miR-218-5p,LINC00339
hsa-miR-219a-5p,LINC00339
hsa-miR-301a-3p,LINC00339
hsa-miR-338-3p,LINC00339
hsa-miR-3619-5p,LINC00339
hsa-miR-377-3p,LINC00339
hsa-miR-424-5p,LINC00339
hsa-miR-4295,LINC00339
hsa-miR-454-3p,LINC00339
hsa-miR-497-5p,LINC00339
hsa-miR-539-5p,LINC00339
hsa-miR-761,LINC00339
hsa-miR-135a-5p,SNHG3
hsa-miR-135b-5p,SNHG3
hsa-miR-139-5p,SNHG3
hsa-miR-182-5p,SNHG3
hsa-miR-186-5p,SNHG3
hsa-miR-196a-5p,SNHG3
hsa-miR-196b-5p,SNHG3
hsa-miR-216a-5p,SNHG3
hsa-miR-326,SNHG3
hsa-miR-330-5p,SNHG3
hsa-miR-340-5p,SNHG3
hsa-miR-371a-5p,SNHG3
hsa-miR-384,SNHG3
hsa-miR-485-5p,SNHG3
hsa-miR-544a,SNHG3
hsa-miR-758-3p,SNHG3
hsa-miR-138-5p,SNHG12
hsa-miR-15a-5p,SNHG12
hsa-miR-15b-5p,SNHG12
hsa-miR-16-5p,SNHG12
hsa-miR-181a-5p,SNHG12
hsa-miR-181b-5p,SNHG12
hsa-miR-181c-5p,SNHG12
hsa-miR-181d-5p,SNHG12
hsa-miR-195-5p,SNHG12
hsa-miR-197-3p,SNHG12
hsa-miR-199a-5p,SNHG12
hsa-miR-199b-5p,SNHG12
hsa-miR-320b,SNHG12
hsa-miR-320c,SNHG12
hsa-miR-320d,SNHG12
hsa-miR-424-5p,SNHG12
hsa-miR-4262,SNHG12
hsa-miR-4429,SNHG12
hsa-miR-494-3p,SNHG12
hsa-miR-497-5p,SNHG12
hsa-miR-503-5p,SNHG12
hsa-miR-200b-3p,MATN1-AS1
hsa-miR-200c-3p,MATN1-AS1
hsa-miR-429,MATN1-AS1
hsa-miR-185-5p,KDM4A-AS1
hsa-miR-4306,KDM4A-AS1
hsa-miR-455-5p,KDM4A-AS1
hsa-miR-134-5p,ERI3-IT1
hsa-miR-149-5p,ERI3-IT1
hsa-miR-15a-5p,ERI3-IT1
hsa-miR-15b-5p,ERI3-IT1
hsa-miR-16-5p,ERI3-IT1
hsa-miR-195-5p,ERI3-IT1
hsa-miR-24-3p,ERI3-IT1
hsa-miR-424-5p,ERI3-IT1
hsa-miR-497-5p,ERI3-IT1
hsa-miR-150-5p,FOXD2-AS1
hsa-miR-185-5p,FOXD2-AS1
hsa-miR-4306,FOXD2-AS1
hsa-miR-136-5p,AGBL4-IT1
hsa-miR-122-5p,DHCR24-DT
hsa-miR-421,DHCR24-DT
hsa-miR-505-3p,DHCR24-DT
hsa-miR-374a-5p,LINC01748
hsa-miR-374b-5p,LINC01748
hsa-miR-340-5p,ZRANB2-AS2
hsa-miR-124-3p,CCDC18-AS1
hsa-miR-128-3p,CCDC18-AS1
hsa-miR-27a-3p,CCDC18-AS1
hsa-miR-27b-3p,CCDC18-AS1
hsa-miR-338-3p,CCDC18-AS1
hsa-miR-362-3p,CCDC18-AS1
hsa-miR-495-3p,CCDC18-AS1
hsa-miR-149-5p,LINC01356
hsa-miR-182-5p,WARS2-AS1
hsa-miR-19a-3p,WARS2-AS1
hsa-miR-19b-3p,WARS2-AS1
hsa-miR-142-3p,LINC01719
hsa-miR-155-5p,LINC02802
hsa-miR-134-5p,TDRKH-AS1
hsa-miR-140-5p,TDRKH-AS1
hsa-miR-186-5p,FLG-AS1
hsa-miR-365a-3p,FLG-AS1
hsa-miR-326,RUSC1-AS1
hsa-miR-330-5p,RUSC1-AS1
hsa-miR-340-5p,RUSC1-AS1
hsa-miR-539-5p,RUSC1-AS1
hsa-miR-362-3p,ASH1L-AS1
hsa-miR-503-5p,ASH1L-AS1
hsa-miR-128-3p,GAS5
hsa-miR-1297,GAS5
hsa-miR-135a-5p,GAS5
hsa-miR-135b-5p,GAS5
hsa-miR-136-5p,GAS5
hsa-miR-18a-5p,GAS5
hsa-miR-18b-5p,GAS5
hsa-miR-196a-5p,GAS5
hsa-miR-196b-5p,GAS5
hsa-miR-205-5p,GAS5
hsa-miR-221-3p,GAS5
hsa-miR-222-3p,GAS5
hsa-miR-223-3p,GAS5
hsa-miR-23a-3p,GAS5
hsa-miR-23b-3p,GAS5
hsa-miR-26a-5p,GAS5
hsa-miR-26b-5p,GAS5
hsa-miR-29a-3p,GAS5
hsa-miR-29b-3p,GAS5
hsa-miR-29c-3p,GAS5
hsa-miR-346,GAS5
hsa-miR-361-5p,GAS5
hsa-miR-374a-5p,GAS5
hsa-miR-374b-5p,GAS5
hsa-miR-433-3p,GAS5
hsa-miR-455-5p,GAS5
hsa-miR-485-5p,GAS5
hsa-miR-544a,GAS5
hsa-miR-590-3p,GAS5
hsa-miR-873-5p,GAS5
hsa-miR-876-5p,GAS5
hsa-miR-15a-5p,RASAL2-AS1
hsa-miR-15b-5p,RASAL2-AS1
hsa-miR-16-5p,RASAL2-AS1
hsa-miR-195-5p,RASAL2-AS1
hsa-miR-371a-5p,RASAL2-AS1
hsa-miR-424-5p,RASAL2-AS1
hsa-miR-497-5p,RASAL2-AS1
hsa-miR-433-3p,LINC01036
hsa-miR-106a-5p,MIR181A1HG
hsa-miR-106b-5p,MIR181A1HG
hsa-miR-1297,MIR181A1HG
hsa-miR-17-5p,MIR181A1HG
hsa-miR-20a-5p,MIR181A1HG
hsa-miR-20b-5p,MIR181A1HG
hsa-miR-26a-5p,MIR181A1HG
hsa-miR-26b-5p,MIR181A1HG
hsa-miR-302a-3p,MIR181A1HG
hsa-miR-302b-3p,MIR181A1HG
hsa-miR-302c-3p,MIR181A1HG
hsa-miR-302d-3p,MIR181A1HG
hsa-miR-302e,MIR181A1HG
hsa-miR-339-5p,MIR181A1HG
hsa-miR-372-3p,MIR181A1HG
hsa-miR-373-3p,MIR181A1HG
hsa-miR-519d-3p,MIR181A1HG
hsa-miR-520a-3p,MIR181A1HG
hsa-miR-520c-3p,MIR181A1HG
hsa-miR-520d-3p,MIR181A1HG
hsa-miR-874-3p,MIR181A1HG
hsa-miR-93-5p,MIR181A1HG
hsa-miR-326,PCAT6
hsa-miR-330-5p,PCAT6
hsa-miR-155-5p,LEMD1-AS1
hsa-miR-374a-5p,LEMD1-AS1
hsa-miR-374b-5p,LEMD1-AS1
hsa-miR-224-5p,KCNH1-IT1
hsa-miR-18a-5p,LINC00467
hsa-miR-18b-5p,LINC00467
hsa-miR-101-3p,DISP1
hsa-miR-1297,DISP1
hsa-miR-194-5p,DISP1
hsa-miR-26a-5p,DISP1
hsa-miR-26b-5p,DISP1
hsa-miR-421,DISP1
hsa-miR-1297,LINC01703
hsa-miR-26a-5p,LINC01703
hsa-miR-26b-5p,LINC01703
hsa-miR-34a-5p,LINC01641
hsa-miR-34c-5p,LINC01641
hsa-miR-449a,LINC01641
hsa-miR-551a,LINC01641
hsa-miR-130a-3p,PRKCQ-AS1
hsa-miR-130b-3p,PRKCQ-AS1
hsa-miR-140-5p,PRKCQ-AS1
hsa-miR-143-3p,PRKCQ-AS1
hsa-miR-182-5p,PRKCQ-AS1
hsa-miR-19a-3p,PRKCQ-AS1
hsa-miR-19b-3p,PRKCQ-AS1
hsa-miR-301a-3p,PRKCQ-AS1
hsa-miR-4295,PRKCQ-AS1
hsa-miR-454-3p,PRKCQ-AS1
hsa-miR-544a,PRKCQ-AS1
hsa-miR-197-3p,VIM-AS1
hsa-miR-142-3p,ST8SIA6-AS1
hsa-miR-1271-5p,WAC-AS1
hsa-miR-218-5p,WAC-AS1
hsa-miR-320b,WAC-AS1
hsa-miR-320c,WAC-AS1
hsa-miR-320d,WAC-AS1
hsa-miR-4429,WAC-AS1
hsa-miR-96-5p,WAC-AS1
hsa-miR-33a-5p,ZNF503-AS2
hsa-miR-33b-5p,ZNF503-AS2
hsa-miR-185-5p,NUTM2B-AS1
hsa-miR-30a-5p,NUTM2B-AS1
hsa-miR-30b-5p,NUTM2B-AS1
hsa-miR-30c-5p,NUTM2B-AS1
hsa-miR-30d-5p,NUTM2B-AS1
hsa-miR-30e-5p,NUTM2B-AS1
hsa-miR-4306,NUTM2B-AS1
hsa-miR-148a-3p,NUTM2B-AS1
hsa-miR-148b-3p,NUTM2B-AS1
hsa-miR-152-3p,NUTM2B-AS1
hsa-miR-15a-5p,NUTM2B-AS1
hsa-miR-15b-5p,NUTM2B-AS1
hsa-miR-16-5p,NUTM2B-AS1
hsa-miR-195-5p,NUTM2B-AS1
hsa-miR-214-3p,NUTM2B-AS1
hsa-miR-361-5p,NUTM2B-AS1
hsa-miR-3619-5p,NUTM2B-AS1
hsa-miR-421,NUTM2B-AS1
hsa-miR-424-5p,NUTM2B-AS1
hsa-miR-497-5p,NUTM2B-AS1
hsa-miR-544a,NUTM2B-AS1
hsa-miR-761,NUTM2B-AS1
hsa-let-7a-5p,NUTM2A-AS1
hsa-let-7b-5p,NUTM2A-AS1
hsa-let-7c-5p,NUTM2A-AS1
hsa-let-7d-5p,NUTM2A-AS1
hsa-let-7e-5p,NUTM2A-AS1
hsa-let-7f-5p,NUTM2A-AS1
hsa-let-7g-5p,NUTM2A-AS1
hsa-let-7i-5p,NUTM2A-AS1
hsa-miR-103a-3p,NUTM2A-AS1
hsa-miR-107,NUTM2A-AS1
hsa-miR-129-5p,NUTM2A-AS1
hsa-miR-130a-3p,NUTM2A-AS1
hsa-miR-130b-3p,NUTM2A-AS1
hsa-miR-138-5p,NUTM2A-AS1
hsa-miR-148a-3p,NUTM2A-AS1
hsa-miR-148b-3p,NUTM2A-AS1
hsa-miR-152-3p,NUTM2A-AS1
hsa-miR-15a-5p,NUTM2A-AS1
hsa-miR-15b-5p,NUTM2A-AS1
hsa-miR-16-5p,NUTM2A-AS1
hsa-miR-195-5p,NUTM2A-AS1
hsa-miR-206,NUTM2A-AS1
hsa-miR-214-3p,NUTM2A-AS1
hsa-miR-301a-3p,NUTM2A-AS1
hsa-miR-34a-5p,NUTM2A-AS1
hsa-miR-34c-5p,NUTM2A-AS1
hsa-miR-3619-5p,NUTM2A-AS1
hsa-miR-376a-3p,NUTM2A-AS1
hsa-miR-376b-3p,NUTM2A-AS1
hsa-miR-424-5p,NUTM2A-AS1
hsa-miR-4295,NUTM2A-AS1
hsa-miR-4458,NUTM2A-AS1
hsa-miR-449a,NUTM2A-AS1
hsa-miR-454-3p,NUTM2A-AS1
hsa-miR-497-5p,NUTM2A-AS1
hsa-miR-539-5p,NUTM2A-AS1
hsa-miR-613,NUTM2A-AS1
hsa-miR-761,NUTM2A-AS1
hsa-miR-98-5p,NUTM2A-AS1
hsa-miR-218-5p,LINC00863
hsa-miR-182-5p,ENTPD1-AS1
hsa-miR-27a-3p,ENTPD1-AS1
hsa-miR-27b-3p,ENTPD1-AS1
hsa-miR-365a-3p,ENTPD1-AS1
hsa-let-7a-5p,OLMALINC
hsa-let-7b-5p,OLMALINC
hsa-let-7c-5p,OLMALINC
hsa-let-7d-5p,OLMALINC
hsa-let-7e-5p,OLMALINC
hsa-let-7f-5p,OLMALINC
hsa-let-7g-5p,OLMALINC
hsa-let-7i-5p,OLMALINC
hsa-miR-129-5p,OLMALINC
hsa-miR-144-3p,OLMALINC
hsa-miR-4458,OLMALINC
hsa-miR-98-5p,OLMALINC
hsa-miR-182-5p,LBX1-AS1
hsa-miR-503-5p,LBX1-AS1
hsa-miR-129-5p,C10orf95-AS1
hsa-miR-135a-5p,C10orf95-AS1
hsa-miR-135b-5p,C10orf95-AS1
hsa-miR-218-5p,C10orf95-AS1
hsa-miR-324-5p,C10orf95-AS1
hsa-miR-338-3p,C10orf95-AS1
hsa-miR-410-3p,C10orf95-AS1
hsa-miR-590-3p,C10orf95-AS1
hsa-miR-18a-5p,CASC2
hsa-miR-18b-5p,CASC2
hsa-miR-197-3p,GRK5-IT1
hsa-miR-15a-5p,EDRF1-DT
hsa-miR-15b-5p,EDRF1-DT
hsa-miR-16-5p,EDRF1-DT
hsa-miR-195-5p,EDRF1-DT
hsa-miR-30a-5p,EDRF1-DT
hsa-miR-30b-5p,EDRF1-DT
hsa-miR-30c-5p,EDRF1-DT
hsa-miR-30d-5p,EDRF1-DT
hsa-miR-30e-5p,EDRF1-DT
hsa-miR-424-5p,EDRF1-DT
hsa-miR-497-5p,EDRF1-DT
hsa-miR-539-5p,EDRF1-DT
hsa-miR-153-3p,MIR202HG
hsa-miR-485-5p,LINC01001
hsa-miR-28-5p,LMNTD2-AS1
hsa-miR-34a-5p,LMNTD2-AS1
hsa-miR-34c-5p,LMNTD2-AS1
hsa-miR-449a,LMNTD2-AS1
hsa-miR-708-5p,LMNTD2-AS1
hsa-miR-874-3p,LMNTD2-AS1
hsa-miR-421,KRTAP5-AS1
hsa-miR-103a-3p,H19
hsa-miR-106a-5p,H19
hsa-miR-106b-5p,H19
hsa-miR-107,H19
hsa-miR-130a-3p,H19
hsa-miR-130b-3p,H19
hsa-miR-138-5p,H19
hsa-miR-140-5p,H19
hsa-miR-148a-3p,H19
hsa-miR-148b-3p,H19
hsa-miR-152-3p,H19
hsa-miR-17-5p,H19
hsa-miR-18a-5p,H19
hsa-miR-18b-5p,H19
hsa-miR-193a-3p,H19
hsa-miR-193b-3p,H19
hsa-miR-194-5p,H19
hsa-miR-196a-5p,H19
hsa-miR-196b-5p,H19
hsa-miR-19a-3p,H19
hsa-miR-19b-3p,H19
hsa-miR-20a-5p,H19
hsa-miR-20b-5p,H19
hsa-miR-216b-5p,H19
hsa-miR-29a-3p,H19
hsa-miR-29b-3p,H19
hsa-miR-29c-3p,H19
hsa-miR-301a-3p,H19
hsa-miR-339-5p,H19
hsa-miR-370-3p,H19
hsa-miR-4295,H19
hsa-miR-454-3p,H19
hsa-miR-491-5p,H19
hsa-miR-519d-3p,H19
hsa-miR-599,H19
hsa-miR-93-5p,H19
hsa-miR-140-5p,SBF2-AS1
hsa-miR-338-3p,SBF2-AS1
hsa-miR-362-3p,SBF2-AS1
hsa-miR-185-5p,LINC00958
hsa-miR-214-3p,LINC00958
hsa-miR-3619-5p,LINC00958
hsa-miR-4306,LINC00958
hsa-miR-490-3p,LINC00958
hsa-miR-761,LINC00958
hsa-miR-101-3p,SNHG1
hsa-miR-140-5p,SNHG1
hsa-miR-145-5p,SNHG1
hsa-miR-154-5p,SNHG1
hsa-miR-15a-5p,SNHG1
hsa-miR-15b-5p,SNHG1
hsa-miR-16-5p,SNHG1
hsa-miR-182-5p,SNHG1
hsa-miR-18a-5p,SNHG1
hsa-miR-18b-5p,SNHG1
hsa-miR-195-5p,SNHG1
hsa-miR-21-5p,SNHG1
hsa-miR-216b-5p,SNHG1
hsa-miR-326,SNHG1
hsa-miR-328-3p,SNHG1
hsa-miR-330-5p,SNHG1
hsa-miR-376a-3p,SNHG1
hsa-miR-376b-3p,SNHG1
