miRNA,disease
hsa-miR-186-5p,Medulloblastoma
hsa-miR-186-5p,Alzheimer disease
hsa-miR-186-5p,Colon cancer
hsa-miR-186-5p,Amyotrophic lateral sclerosis
hsa-miR-186-5p,Colorectal cancer
hsa-miR-19a-3p,Spinocerebellar ataxia type 1
hsa-miR-19a-3p,Lymphoblastic lymphoma
hsa-miR-19a-3p,Thyroid carcinoma anaplastic
hsa-miR-19a-3p,Bladder cancer
hsa-miR-19a-3p,Breast cancer
hsa-miR-19a-3p,Breast neoplasms
hsa-miR-19a-3p,Melanoma
hsa-miR-19a-3p,Thyroid adenomas
hsa-miR-19a-3p,Glioblastoma
hsa-miR-19a-3p,Glioma
hsa-miR-19a-3p,Malignant glioma
hsa-miR-19a-3p,Notch-induced t-cell acute lymphoblastic leukemia
hsa-miR-19a-3p,T-cell acute lymphoblastic leukemia
hsa-miR-19a-3p,Cowden disease
hsa-miR-19a-3p,Hepatocellular carcinoma
hsa-miR-19a-3p,Neuroblastoma
hsa-miR-19a-3p,Lymphosarcoma
hsa-miR-19a-3p,Acute myelogenous leukemia
hsa-miR-19a-3p,Acute myeloid leukemia
hsa-miR-19a-3p,Colorectal cancer
hsa-miR-19a-3p,Multiple myeloma
hsa-miR-19a-3p,Esophageal squamous cell carcinoma
hsa-miR-19a-3p,Chronic pain
hsa-miR-19b-3p,Medulloblastoma
hsa-miR-19b-3p,Malignant lymphoma
hsa-miR-19b-3p,Alzheimer disease
hsa-miR-19b-3p,Encephalitis japanese
hsa-miR-19b-3p,Lung cancer
hsa-miR-19b-3p,Fragile x syndrome
hsa-miR-19b-3p,Breast cancer
hsa-miR-19b-3p,Breast neoplasms
hsa-miR-19b-3p,Malignant melanoma
hsa-miR-19b-3p,Multiple sclerosis relapsing-remitting
hsa-miR-19b-3p,Thyroid adenomas
hsa-miR-19b-3p,Glioblastoma
hsa-miR-19b-3p,malignant glioma
hsa-miR-19b-3p,Coronary artery disease
hsa-miR-19b-3p,Myasthenia gravis autoimmune experimental
hsa-miR-19b-3p,Hepatocellular carcinoma
hsa-miR-19b-3p,B-cell lymphoma
hsa-miR-19b-3p,B-cell non-hodgkin lymphoma
hsa-miR-19b-3p,Neuroblastoma
hsa-miR-19b-3p,Lymphosarcoma
hsa-miR-19b-3p,Crohn disease
hsa-miR-19b-3p,Intermediate coronary syndrome
hsa-miR-19b-3p,Acute myelogenous leukemia
hsa-miR-19b-3p,Acute myeloid leukemia
hsa-miR-19b-3p,Colorectal cancer
