lncRNA,miRNA
CASC2,hsa-miR-18a-5p
CASC2,hsa-miR-18b-5p
CASC2,hsa-miR-4735-3p
CASC8,hsa-miR-599
CBR3-AS1,hsa-miR-143-3p
CBR3-AS1,hsa-miR-320b
CBR3-AS1,hsa-miR-320c
CBR3-AS1,hsa-miR-320d
CBR3-AS1,hsa-miR-4429
CBR3-AS1,hsa-miR-4770
CCDC144NL-AS1,hsa-miR-142-3p
CCDC144NL-AS1,hsa-miR-145-5p
CCDC144NL-AS1,hsa-miR-202-3p
CCDC144NL-AS1,hsa-miR-218-5p
CCDC144NL-AS1,hsa-miR-374a-5p
CCDC144NL-AS1,hsa-miR-374b-5p
CDKN2B-AS1,hsa-let-7a-5p
CDKN2B-AS1,hsa-let-7b-5p
CDKN2B-AS1,hsa-let-7c-5p
CDKN2B-AS1,hsa-let-7d-5p
CDKN2B-AS1,hsa-let-7e-5p
CDKN2B-AS1,hsa-let-7f-5p
CDKN2B-AS1,hsa-let-7g-5p
CDKN2B-AS1,hsa-let-7i-5p
CDKN2B-AS1,hsa-miR-10a-5p
CDKN2B-AS1,hsa-miR-10b-5p
CDKN2B-AS1,hsa-miR-122-5p
CDKN2B-AS1,hsa-miR-125a-3p
CDKN2B-AS1,hsa-miR-181a-5p
CDKN2B-AS1,hsa-miR-181b-5p
CDKN2B-AS1,hsa-miR-181c-5p
CDKN2B-AS1,hsa-miR-181d-5p
CDKN2B-AS1,hsa-miR-339-5p
CDKN2B-AS1,hsa-miR-4262
CDKN2B-AS1,hsa-miR-4458
CDKN2B-AS1,hsa-miR-4500
CDKN2B-AS1,hsa-miR-98-5p
CRNDE,hsa-miR-136-5p
CRNDE,hsa-miR-384
CYTOR,hsa-miR-103a-3p
CYTOR,hsa-miR-107
CYTOR,hsa-miR-155-5p
CYTOR,hsa-miR-193a-3p
CYTOR,hsa-miR-193b-3p
CYTOR,hsa-miR-376c-3p
DLEU2,hsa-miR-30a-5p
DLEU2,hsa-miR-30b-5p
DLEU2,hsa-miR-30c-5p
DLEU2,hsa-miR-30d-5p
DLEU2,hsa-miR-30e-5p
DLEU2,hsa-miR-374a-5p
DLEU2,hsa-miR-374b-5p
DUBR,hsa-miR-103a-3p
DUBR,hsa-miR-107
DUBR,hsa-miR-142-3p
DUBR,hsa-miR-3167
DUBR,hsa-miR-876-5p
DUXAP8,hsa-miR-1297
DUXAP8,hsa-miR-26a-5p
DUXAP8,hsa-miR-26b-5p
DUXAP8,hsa-miR-384
DUXAP8,hsa-miR-4465
EMX2OS,hsa-miR-653-5p
ENTPD1-AS1,hsa-miR-182-5p
ENTPD1-AS1,hsa-miR-27a-3p
ENTPD1-AS1,hsa-miR-27b-3p
ENTPD1-AS1,hsa-miR-365a-3p
FBXL19-AS1,hsa-miR-3167
FBXL19-AS1,hsa-miR-346
FBXL19-AS1,hsa-miR-378a-3p
FBXL19-AS1,hsa-miR-378b
FBXL19-AS1,hsa-miR-378c
FBXL19-AS1,hsa-miR-378d
FBXL19-AS1,hsa-miR-378e
FBXL19-AS1,hsa-miR-378f
FBXL19-AS1,hsa-miR-378h
FBXL19-AS1,hsa-miR-378i
FBXL19-AS1,hsa-miR-422a
FBXL19-AS1,hsa-miR-431-5p
FBXL19-AS1,hsa-miR-876-5p
FENDRR,hsa-miR-15a-5p
FENDRR,hsa-miR-15b-5p
FENDRR,hsa-miR-16-5p
FENDRR,hsa-miR-18a-5p
FENDRR,hsa-miR-18b-5p
FENDRR,hsa-miR-195-5p
FENDRR,hsa-miR-214-3p
FENDRR,hsa-miR-24-3p
FENDRR,hsa-miR-28-5p
FENDRR,hsa-miR-296-3p
FENDRR,hsa-miR-3139
FENDRR,hsa-miR-338-3p
FENDRR,hsa-miR-3619-5p
FENDRR,hsa-miR-421
FENDRR,hsa-miR-424-5p
FENDRR,hsa-miR-4735-3p
FENDRR,hsa-miR-495-3p
FENDRR,hsa-miR-497-5p
FENDRR,hsa-miR-708-5p
FENDRR,hsa-miR-761
FGD5-AS1,hsa-miR-103a-3p
FGD5-AS1,hsa-miR-106a-5p
FGD5-AS1,hsa-miR-106b-5p
FGD5-AS1,hsa-miR-107
FGD5-AS1,hsa-miR-124-3p
FGD5-AS1,hsa-miR-125a-3p
FGD5-AS1,hsa-miR-129-5p
FGD5-AS1,hsa-miR-130a-3p
FGD5-AS1,hsa-miR-130b-3p
FGD5-AS1,hsa-miR-133a-3p
FGD5-AS1,hsa-miR-133b
FGD5-AS1,hsa-miR-142-3p
FGD5-AS1,hsa-miR-153-3p
FGD5-AS1,hsa-miR-154-5p
FGD5-AS1,hsa-miR-15a-5p
FGD5-AS1,hsa-miR-15b-5p
FGD5-AS1,hsa-miR-16-5p
FGD5-AS1,hsa-miR-17-5p
FGD5-AS1,hsa-miR-195-5p
FGD5-AS1,hsa-miR-196a-5p
FGD5-AS1,hsa-miR-196b-5p
FGD5-AS1,hsa-miR-19a-3p
FGD5-AS1,hsa-miR-19b-3p
FGD5-AS1,hsa-miR-202-3p
FGD5-AS1,hsa-miR-20a-5p
FGD5-AS1,hsa-miR-20b-5p
FGD5-AS1,hsa-miR-214-3p
FGD5-AS1,hsa-miR-223-3p
FGD5-AS1,hsa-miR-22-3p
FGD5-AS1,hsa-miR-301a-3p
FGD5-AS1,hsa-miR-302a-3p
FGD5-AS1,hsa-miR-302b-3p
FGD5-AS1,hsa-miR-302c-3p
FGD5-AS1,hsa-miR-302d-3p
FGD5-AS1,hsa-miR-302e
FGD5-AS1,hsa-miR-320b
FGD5-AS1,hsa-miR-320c
FGD5-AS1,hsa-miR-320d
FGD5-AS1,hsa-miR-33a-5p
FGD5-AS1,hsa-miR-33b-5p
FGD5-AS1,hsa-miR-3619-5p
FGD5-AS1,hsa-miR-3666
FGD5-AS1,hsa-miR-372-3p
FGD5-AS1,hsa-miR-373-3p
FGD5-AS1,hsa-miR-382-5p
FGD5-AS1,hsa-miR-383-5p
FGD5-AS1,hsa-miR-424-5p
FGD5-AS1,hsa-miR-4295
FGD5-AS1,hsa-miR-4429
FGD5-AS1,hsa-miR-450a-5p
FGD5-AS1,hsa-miR-454-3p
FGD5-AS1,hsa-miR-497-5p
FGD5-AS1,hsa-miR-499a-5p
FGD5-AS1,hsa-miR-505-3p
FGD5-AS1,hsa-miR-506-3p
FGD5-AS1,hsa-miR-519d-3p
FGD5-AS1,hsa-miR-520a-3p
FGD5-AS1,hsa-miR-520c-3p
FGD5-AS1,hsa-miR-520d-3p
FGD5-AS1,hsa-miR-539-5p
FGD5-AS1,hsa-miR-544a
FGD5-AS1,hsa-miR-761
FGD5-AS1,hsa-miR-93-5p
