miRNA,disease
hsa-miR-18a-5p,breast cancer
hsa-miR-18b-5p,breast cancer
hsa-miR-4735-3p,breast cancer
hsa-miR-18a-5p,cancer
hsa-miR-18b-5p,cancer
hsa-miR-4735-3p,cancer
hsa-miR-18a-5p,colorectal cancer
hsa-miR-18b-5p,colorectal cancer
hsa-miR-4735-3p,colorectal cancer
hsa-miR-18a-5p,endometrial cancer
hsa-miR-18b-5p,endometrial cancer
hsa-miR-4735-3p,endometrial cancer
hsa-miR-18a-5p,esophageal carcinoma
hsa-miR-18b-5p,esophageal carcinoma
hsa-miR-4735-3p,esophageal carcinoma
hsa-miR-18a-5p,hepatocellular carcinoma
hsa-miR-18b-5p,hepatocellular carcinoma
hsa-miR-4735-3p,hepatocellular carcinoma
hsa-miR-18a-5p,lung adenocarcinoma
hsa-miR-18b-5p,lung adenocarcinoma
hsa-miR-4735-3p,lung adenocarcinoma
hsa-miR-18a-5p,lung cancer
hsa-miR-18b-5p,lung cancer
hsa-miR-4735-3p,lung cancer
hsa-miR-18a-5p,osteosarcoma
hsa-miR-18b-5p,osteosarcoma
hsa-miR-4735-3p,osteosarcoma
hsa-miR-18a-5p,pancreatic cancer
hsa-miR-18b-5p,pancreatic cancer
hsa-miR-4735-3p,pancreatic cancer
hsa-miR-18a-5p,prostate cancer
hsa-miR-18b-5p,prostate cancer
hsa-miR-4735-3p,prostate cancer
hsa-miR-18a-5p,renal cell carcinoma
hsa-miR-18b-5p,renal cell carcinoma
hsa-miR-4735-3p,renal cell carcinoma
hsa-miR-18a-5p,stomach cancer
hsa-miR-18b-5p,stomach cancer
hsa-miR-4735-3p,stomach cancer
hsa-miR-599,bladder carcinoma
hsa-miR-599,childhood acute lymphocytic leukemia
hsa-miR-599,colorectal cancer
hsa-miR-599,lung cancer
hsa-miR-599,urinary bladder cancer
hsa-miR-143-3p,carcinoma
hsa-miR-320b,carcinoma
hsa-miR-320c,carcinoma
hsa-miR-320d,carcinoma
hsa-miR-4429,carcinoma
hsa-miR-4770,carcinoma
hsa-miR-143-3p,colorectal cancer
hsa-miR-320b,colorectal cancer
hsa-miR-320c,colorectal cancer
hsa-miR-320d,colorectal cancer
hsa-miR-4429,colorectal cancer
hsa-miR-4770,colorectal cancer
hsa-miR-143-3p,hepatocellular carcinoma
hsa-miR-320b,hepatocellular carcinoma
hsa-miR-320c,hepatocellular carcinoma
hsa-miR-320d,hepatocellular carcinoma
hsa-miR-4429,hepatocellular carcinoma
hsa-miR-4770,hepatocellular carcinoma
hsa-miR-143-3p,inflammatory bowel disease
hsa-miR-320b,inflammatory bowel disease
hsa-miR-320c,inflammatory bowel disease
hsa-miR-320d,inflammatory bowel disease
hsa-miR-4429,inflammatory bowel disease
hsa-miR-4770,inflammatory bowel disease
hsa-miR-143-3p,prostate cancer
hsa-miR-320b,prostate cancer
hsa-miR-320c,prostate cancer
hsa-miR-320d,prostate cancer
hsa-miR-4429,prostate cancer
hsa-miR-4770,prostate cancer
hsa-miR-143-3p,squamous cell carcinoma
hsa-miR-320b,squamous cell carcinoma
hsa-miR-320c,squamous cell carcinoma
hsa-miR-320d,squamous cell carcinoma
hsa-miR-4429,squamous cell carcinoma
hsa-miR-4770,squamous cell carcinoma
hsa-miR-143-3p,stomach cancer
hsa-miR-320b,stomach cancer
hsa-miR-320c,stomach cancer
hsa-miR-320d,stomach cancer
hsa-miR-4429,stomach cancer
hsa-miR-4770,stomach cancer
hsa-miR-142-3p,urinary bladder cancer
hsa-miR-145-5p,urinary bladder cancer
hsa-miR-202-3p,urinary bladder cancer
hsa-miR-218-5p,urinary bladder cancer
hsa-miR-374a-5p,urinary bladder cancer
hsa-miR-374b-5p,urinary bladder cancer
hsa-let-7a-5p,abdominal aortic aneurysm
hsa-let-7b-5p,abdominal aortic aneurysm
hsa-let-7c-5p,abdominal aortic aneurysm
hsa-let-7d-5p,abdominal aortic aneurysm
hsa-let-7e-5p,abdominal aortic aneurysm
hsa-let-7f-5p,abdominal aortic aneurysm
hsa-let-7g-5p,abdominal aortic aneurysm
hsa-let-7i-5p,abdominal aortic aneurysm
hsa-miR-10a-5p,abdominal aortic aneurysm
hsa-miR-10b-5p,abdominal aortic aneurysm
hsa-miR-122-5p,abdominal aortic aneurysm
hsa-miR-125a-3p,abdominal aortic aneurysm
hsa-miR-181a-5p,abdominal aortic aneurysm
hsa-miR-181b-5p,abdominal aortic aneurysm
hsa-miR-181c-5p,abdominal aortic aneurysm
hsa-miR-181d-5p,abdominal aortic aneurysm
hsa-miR-339-5p,abdominal aortic aneurysm
