lncRNA,disease
CDKN2B-AS1,Acute Lymphoblastic Leukemia
CDKN2B-AS1,Acute Myeloid Leukemia
CDKN2B-AS1,Acute Myocardial Infarction
CDKN2B-AS1,Adult T-Cell Leukemia
CDKN2B-AS1,Age-Related Macular Degeneration
CDKN2B-AS1,Allergic Rhinitis
CDKN2B-AS1,Alzheimer Disease
CDKN2B-AS1,Anxiety Disorder
CDKN2B-AS1,Arteriosclerotic Cardiovascular Disease
CDKN2B-AS1,Astrocytoma
CDKN2B-AS1,Atherosclerosis
CDKN2B-AS1,Atrial Fibrillation
CDKN2B-AS1,Atrophic Gastritis
CDKN2B-AS1,Autism Spectrum Disorder
CDKN2B-AS1,Basal Cell Carcinoma
CDKN2B-AS1,Beta-Thalassemia
CDKN2B-AS1,Bipolar Disorder
CDKN2B-AS1,Bladder Cancer
CDKN2B-AS1,Bladder Urothelial Carcinoma
CDKN2B-AS1,Breast Cancer
CDKN2B-AS1,Bronchial Asthma
CDKN2B-AS1,Burkitt Lymphoma
CDKN2B-AS1,Cancer
CDKN2B-AS1,Cardiovascular Disease
CDKN2B-AS1,Carotid Stenosis
CDKN2B-AS1,Cataract
CDKN2B-AS1,Cell Renal Cell Carcinoma
CDKN2B-AS1,Cervical Cancer
CDKN2B-AS1,Cholangiocarcinoma
CDKN2B-AS1,Chronic Myeloid Leukemia
CDKN2B-AS1,Chronic Obstructive Pulmonary Disease
CDKN2B-AS1,Colon Cancer
CDKN2B-AS1,Colorectal Cancer
CDKN2B-AS1,Congestive Heart Failure
CDKN2B-AS1,Coronary Artery Disease
CDKN2B-AS1,Coronary Atherosclerotic Heart Disease
CDKN2B-AS1,Coronary Heart Disease
CDKN2B-AS1,Crohn's Disease
CDKN2B-AS1,Cutaneous Malignant Melanoma
CDKN2B-AS1,Diabetes Mellitus
CDKN2B-AS1,Diabetic Nephropathy
CDKN2B-AS1,Diabetic Retinopathy
CDKN2B-AS1,Endometrial Cancer
CDKN2B-AS1,Endometriosis
CDKN2B-AS1,Epilepsy
CDKN2B-AS1,Epithelial Ovarian Cancer
CDKN2B-AS1,Esophageal Cancer
CDKN2B-AS1,Esophageal Squamous Cell Cancer
CDKN2B-AS1,Esophagus Squamous Cell Carcinoma
CDKN2B-AS1,Gallbladder Cancer
CDKN2B-AS1,Gastric Cancer
CDKN2B-AS1,Glaucoma
CDKN2B-AS1,Glioblastoma
CDKN2B-AS1,Glioma
CDKN2B-AS1,Head And Neck Squamous Cell Carcinoma
CDKN2B-AS1,Hepatocellular Cancer
CDKN2B-AS1,Hepatocellular Carcinoma
CDKN2B-AS1,Hypertension
CDKN2B-AS1,Intracranial Aneurysm
CDKN2B-AS1,Intrahepatic Cholangiocarcinoma
CDKN2B-AS1,Invasive Breast Carcinoma
CDKN2B-AS1,Laryngeal Squamous Cell Cancer
CDKN2B-AS1,Laryngeal Squamous Cell Carcinoma
CDKN2B-AS1,Leukemia
CDKN2B-AS1,Liver Cancer
CDKN2B-AS1,Liver Fibrosis
CDKN2B-AS1,Lung Adenocarcinoma
CDKN2B-AS1,Lung Cancer
CDKN2B-AS1,Lung Non-Small Cell Carcinoma
CDKN2B-AS1,Major Depressive Disorder
CDKN2B-AS1,Malignant Glioma
CDKN2B-AS1,Medulloblastoma
CDKN2B-AS1,Melanoma
CDKN2B-AS1,Mouth Neoplasm
CDKN2B-AS1,Multiple Myeloma
CDKN2B-AS1,Multiple Sclerosis
CDKN2B-AS1,Myelofibrosis
CDKN2B-AS1,Myocardial Infarction
CDKN2B-AS1,Nasopharynx Cancer
CDKN2B-AS1,Nasopharynx Carcinoma
CDKN2B-AS1,Neck Squamous Cell Carcinoma
CDKN2B-AS1,Nervous System Cancer
CDKN2B-AS1,Neuroblastoma
CDKN2B-AS1,Neurofibromatosis 1
CDKN2B-AS1,Non-Alcoholic Fatty Liver
CDKN2B-AS1,Non-Small Cell Lung Cancer
CDKN2B-AS1,Oral Cancer
CDKN2B-AS1,Oral Squamous Cell Carcinoma
CDKN2B-AS1,Osteoarthritis
CDKN2B-AS1,Osteosarcoma
CDKN2B-AS1,Ovarian Cancer
CDKN2B-AS1,Pancreatic Cancer
CDKN2B-AS1,Papillary Thyroid Cancer
CDKN2B-AS1,Parkinson Disease
CDKN2B-AS1,Periodontitis
CDKN2B-AS1,Peripheral Artery Disease
CDKN2B-AS1,Pituitary Adenoma
CDKN2B-AS1,Precursor Cell Lymphoblastic Leukemia-Lymphoma
CDKN2B-AS1,Primary Myelofibrosis
CDKN2B-AS1,Primary Open Angle Glaucoma
CDKN2B-AS1,Prostate Cancer
CDKN2B-AS1,Prostate Neoplasm
CDKN2B-AS1,Psoriasis
CDKN2B-AS1,Pulmonary Artery Hypertension
CDKN2B-AS1,Renal Cell Carcinoma
CDKN2B-AS1,Renal Clear Cell Carcinoma
CDKN2B-AS1,Retinoblastoma
CDKN2B-AS1,Small Cell Lung Cancer
CDKN2B-AS1,Squamous Cell Carcinoma
CDKN2B-AS1,Stomach Cancer
CDKN2B-AS1,T-Cell Acute Lymphoblastic Leukemia
CDKN2B-AS1,T-Cell Leukemia
CDKN2B-AS1,Thoracic Aortic Dissection
CDKN2B-AS1,Thyroid Anaplastic Carcinoma
CDKN2B-AS1,Thyroid Cancer
CDKN2B-AS1,Triple-Negative Breast Cancer
CDKN2B-AS1,Tumor
CDKN2B-AS1,Type 2 Diabetes Mellitus
CDKN2B-AS1,Ulcerative Colitis
CDKN2B-AS1,Urinary Bladder Cancer
CDKN2B-AS1,Uterine Cervical Neoplasm
CDKN2B-AS1,Uterine Corpus Endometrial Carcinoma
SNHG8,Acute Myocardial Infarction
SNHG8,Atherosclerosis
SNHG8,Breast Cancer
SNHG8,Cervical Cancer
SNHG8,Colorectal Cancer
SNHG8,Endometrial Cancer
SNHG8,Esophageal Squamous Cell Cancer
SNHG8,Gastric Cancer
SNHG8,Hepatocellular Carcinoma
SNHG8,Malignant Pleural Mesothelioma
SNHG8,Muscle-Invasive Bladder Cancer
SNHG8,Myocardial Infarction
SNHG8,Nasopharynx Carcinoma
SNHG8,Neuroblastoma
SNHG8,Non-Small Cell Lung Cancer
SNHG8,Non Small Cell Lung Cancer
SNHG8,Osteosarcoma
SNHG8,Ovarian Carcinoma
SNHG8,Pancreatic Adenocarcinoma
SNHG8,Periodontitis
SNHG8,Stomach Cancer
HOTAIR,Acute Megakaryoblastic Leukemia
HOTAIR,Acute Myeloid Leukemia
HOTAIR,Acute Myocardial Infarction
HOTAIR,Adrenocortical Cancer
HOTAIR,Adrenocortical Carcinoma
HOTAIR,Astrocytoma
HOTAIR,Atherosclerosis
HOTAIR,Atrial Fibrillation
HOTAIR,Atrophic Gastritis
HOTAIR,Attention Deficit Hyperactivity Disorder
HOTAIR,B-Cell Lymphoma
HOTAIR,Bipolar Disorder
HOTAIR,Bladder Cancer
HOTAIR,Bladder Carcinoma
HOTAIR,Bladder Transitional Cell Carcinoma
HOTAIR,Bladder Urothelial Carcinoma
HOTAIR,Breast Cancer
HOTAIR,Cancer
HOTAIR,Cardiovascular Disease
HOTAIR,Cerebrovascular Disease
HOTAIR,Cervical Cancer
HOTAIR,Cholangiocarcinoma
HOTAIR,Chondrosarcoma
HOTAIR,Chronic Myeloid Leukemia
HOTAIR,Chronic Obstructive Pulmonary Disease
HOTAIR,Clear Cell Renal Cell Carcinoma
HOTAIR,Colon Adenocarcinoma
HOTAIR,Colon Cancer
HOTAIR,Colorectal Cancer
HOTAIR,Congestive Heart Failure
HOTAIR,Coronary Artery Disease
HOTAIR,Cutaneous Squamous Cell Carcinoma
HOTAIR,Diabetes Mellitus
HOTAIR,Diabetic Nephropathy
HOTAIR,Diabetic Retinopathy
HOTAIR,Diffuse Large B-Cell Lymphoma
HOTAIR,Embryonal Cancer
HOTAIR,Embryonal Tumor
HOTAIR,Endometrial Cancer
HOTAIR,Endometrial Carcinoma
HOTAIR,Endometrial Squamous Carcinoma
HOTAIR,Ependymoma
HOTAIR,Epithelial Ovarian Cancer
HOTAIR,Esophageal Adenocarcinoma
HOTAIR,Esophageal Cancer
HOTAIR,Esophageal Carcinoma
HOTAIR,Esophageal Squamous Cell Cancer
HOTAIR,Esophagus Squamous Cell Carcinoma
HOTAIR,Fibroadenoma
HOTAIR,Gallbladder Cancer
HOTAIR,Gastric Adenocarcinoma
HOTAIR,Gastric Cancer
HOTAIR,Gastric Cardia Adenocarcinoma
HOTAIR,Gastrointestinal Cancer
HOTAIR,Gastrointestinal Stromal Tumor
HOTAIR,Gastrointestinal System Cancer
HOTAIR,Glioblastoma
HOTAIR,Glioblastoma Multiforme
HOTAIR,Glioma
HOTAIR,Head And Neck Squamous Cell Cancer
HOTAIR,Head And Neck Squamous Cell Carcinoma
HOTAIR,Heart Disease
HOTAIR,Hepatitis B
HOTAIR,Hepatitis C
HOTAIR,Hepatocellular Cancer
HOTAIR,Hepatocellular Carcinoma
HOTAIR,Her2-Receptor Positive Breast Cancer
HOTAIR,Inflammation
HOTAIR,Intervertebral Disc Degeneration
HOTAIR,Kidney Cancer
HOTAIR,Knee Osteoarthritis
HOTAIR,Laryngeal Cancer
HOTAIR,Laryngeal Squamous Cell Cancer
HOTAIR,Laryngeal Squamous Cell Carcinoma
HOTAIR,Leukemia
HOTAIR,Liver Cancer
HOTAIR,Liver Cirrhosis
HOTAIR,Liver Fibrosis
HOTAIR,Lung Adenocarcinoma
HOTAIR,Lung Cancer
HOTAIR,Lung Non-Small Cell Carcinoma
HOTAIR,Lung Small Cell Carcinoma
HOTAIR,Lung Squamous Cell Carcinoma
HOTAIR,Major Depressive Disorder
HOTAIR,Malignant Glioma
HOTAIR,Malignant Melanoma
HOTAIR,Medulloblastoma
HOTAIR,Melanoma
HOTAIR,Multiple Myeloma
HOTAIR,Multiple Sclerosis
HOTAIR,Myeloma
HOTAIR,Myocardial Infarction
HOTAIR,Nasopharynx Cancer
HOTAIR,Nasopharynx Carcinoma
HOTAIR,Neuroblastoma
HOTAIR,Neuroendocrine Neoplasm
HOTAIR,Non-Alcoholic Fatty Liver Disease
HOTAIR,Non-Functional Pituitary Adenoma
HOTAIR,Non-Small Cell Lung Cancer
HOTAIR,Non Small Cell Lung Cancer
HOTAIR,Oral Cancer
HOTAIR,Oral Squamous Cell Cancer
HOTAIR,Oral Squamous Cell Carcinoma
HOTAIR,Osteoarthritis
HOTAIR,Osteonecrosis
HOTAIR,Osteosarcoma
HOTAIR,Ovarian Cancer
HOTAIR,Pancreatic Adenocarcinoma
HOTAIR,Pancreatic Cancer
HOTAIR,Pancreatic Carcinoma
HOTAIR,Pancreatic Ductal Adenocarcinoma
HOTAIR,Papillary Thyroid Cancer
HOTAIR,Papillary Thyroid Carcinoma
HOTAIR,Parkinson Disease
HOTAIR,Pituitary Adenoma
HOTAIR,Pre-Eclampsia
HOTAIR,Premature Ovarian Failure
HOTAIR,Prostate Cancer
HOTAIR,Psoriasis
HOTAIR,Renal Cancer
HOTAIR,Renal Carcinoma
HOTAIR,Renal Cell Carcinoma
HOTAIR,Retinoblastoma
HOTAIR,Rheumatoid Arthritis
HOTAIR,Rosacea
HOTAIR,Salivary Adenoid Cystic Carcinoma
HOTAIR,Sarcoma
HOTAIR,Sepsis
HOTAIR,Silicosis
HOTAIR,Small Cell Lung Cancer
HOTAIR,Squamous Cell Carcinoma
HOTAIR,Stomach Cancer
HOTAIR,Synovial Sarcoma
HOTAIR,Systemic Sclerosis
HOTAIR,Thyroid Anaplastic Carcinoma
HOTAIR,Thyroid Cancer
HOTAIR,Triple-Negative Breast Cancer
HOTAIR,Tuberculosis
HOTAIR,Type 2 Diabetes Mellitus
HOTAIR,Urinary Bladder Cancer
HOTAIR,Uterine Cervical Neoplasm
HOTAIR,Uterine Leiomyoma
HOTAIR,Vulva Squamous Cell Carcinoma
HOTAIR,Wilms Tumor
ST8SIA6-AS1,Bladder Cancer
ST8SIA6-AS1,Breast Cancer
ST8SIA6-AS1,Cancer
ST8SIA6-AS1,Cholangiocarcinoma
ST8SIA6-AS1,Colorectal Cancer
ST8SIA6-AS1,COVID-19
ST8SIA6-AS1,Esophageal Cancer
ST8SIA6-AS1,Hepatocellular Carcinoma
ST8SIA6-AS1,Lung Adenocarcinoma
ST8SIA6-AS1,Lung Cancer
ST8SIA6-AS1,Pancreatic Cancer
ST8SIA6-AS1,Periodontitis
ST8SIA6-AS1,Thyroid Cancer
TMPO-AS1,Astrocytoma
TMPO-AS1,Bladder Cancer
TMPO-AS1,Breast Cancer
TMPO-AS1,Cervical Cancer
TMPO-AS1,Colorectal Cancer
TMPO-AS1,Esophageal Cancer
TMPO-AS1,Gastric Cancer
TMPO-AS1,Hepatocellular Carcinoma
TMPO-AS1,Laryngeal Squamous Cell Carcinoma
TMPO-AS1,Lung Adenocarcinoma
TMPO-AS1,Nasopharynx Carcinoma
TMPO-AS1,Non-Small Cell Lung Cancer
TMPO-AS1,Non Small Cell Lung Cancer
TMPO-AS1,Osteosarcoma
TMPO-AS1,Ovarian Cancer
TMPO-AS1,Pancreatic Carcinoma
TMPO-AS1,Periodontitis
TMPO-AS1,Polycystic Ovary Syndrome
TMPO-AS1,Prostate Cancer
TMPO-AS1,Retinoblastoma
TMPO-AS1,Triple-Negative Breast Cancer
TMPO-AS1,Wilms Tumor
SRRM2-AS1,Colon Adenocarcinoma
SRRM2-AS1,Esophageal Cancer
SRRM2-AS1,Hepatocellular Carcinoma
SRRM2-AS1,Thyroid Cancer
VPS9D1-AS1,Acute Myeloid Leukemia
VPS9D1-AS1,Breast Cancer
VPS9D1-AS1,Colon Adenocarcinoma
VPS9D1-AS1,Colon Cancer
VPS9D1-AS1,Colorectal Cancer
VPS9D1-AS1,COVID-19
VPS9D1-AS1,Esophageal Cancer
VPS9D1-AS1,Esophagus Squamous Cell Carcinoma
VPS9D1-AS1,Gastric Cancer
VPS9D1-AS1,Hepatocellular Carcinoma
VPS9D1-AS1,Lung Adenocarcinoma
VPS9D1-AS1,Non-Small Cell Lung Cancer
VPS9D1-AS1,Non Small Cell Lung Cancer
VPS9D1-AS1,Ovarian Cancer
VPS9D1-AS1,Prostate Cancer
VPS9D1-AS1,Stomach Cancer
KTN1-AS1,Bladder Cancer
KTN1-AS1,Colorectal Cancer
KTN1-AS1,Glioblastoma
KTN1-AS1,Head And Neck Squamous Cell Carcinoma
KTN1-AS1,Hepatocellular Carcinoma
KTN1-AS1,Lung Adenocarcinoma
KTN1-AS1,Non-Small Cell Lung Cancer
KTN1-AS1,Pancreatic Cancer
KTN1-AS1,Thyroid Cancer
MATN1-AS1,Bladder Cancer
MATN1-AS1,Esophageal Cancer
MATN1-AS1,Glioblastoma
MATN1-AS1,Glioma
MATN1-AS1,Osteosarcoma
MATN1-AS1,Thyroid Cancer
GABPB1-AS1,Astrocytoma
GABPB1-AS1,Cervical Cancer
GABPB1-AS1,Clear Cell Renal Cell Carcinoma
GABPB1-AS1,Colorectal Cancer
GABPB1-AS1,Esophageal Cancer
GABPB1-AS1,Glioma
GABPB1-AS1,Hepatocellular Carcinoma
GABPB1-AS1,Low-Grade Glioma
GABPB1-AS1,Melanoma
GABPB1-AS1,Osteoarthritis
GABPB1-AS1,Periodontitis
GABPB1-AS1,Pulmonary Artery Hypertension
CECR7,Adult Acute Myeloid Leukemia
CECR7,Esophageal Cancer
CECR7,Gastric Cancer
CECR7,Glioblastoma
CECR7,Glioblastoma Multiforme
CECR7,Hepatocellular Cancer
CECR7,Hepatocellular Carcinoma
CECR7,Thyroid Cancer
USP3-AS1,Astrocytoma
USP3-AS1,Esophageal Cancer
USP3-AS1,Pheochromocytoma
USP3-AS1,Thyroid Cancer
CKMT2-AS1,Colorectal Cancer
CKMT2-AS1,Esophageal Cancer
CKMT2-AS1,Glioblastoma
CKMT2-AS1,Medulloblastoma
CKMT2-AS1,Periodontitis
ZNF503-AS2,Esophageal Cancer
ZNF503-AS2,Thyroid Cancer
CCDC18-AS1,Glioblastoma
CCDC18-AS1,Periodontitis
CCDC18-AS1,Psoriasis
MZF1-AS1,Allergic Rhinitis
MZF1-AS1,Knee Osteoarthritis
WASIR2,Bladder Cancer
WASIR2,Esophageal Cancer
WASIR2,Glioblastoma
WASIR2,Lung Adenocarcinoma
KDM4A-AS1,Esophageal Cancer
KDM4A-AS1,Head And Neck Squamous Cell Carcinoma
KDM4A-AS1,Hepatocellular Carcinoma
LINC01001,Esophageal Cancer
LINC01001,Osteoarthritis
LINC01001,Thyroid Cancer
LINC00240,Acute Myeloid Leukemia
LINC00240,Cervical Cancer
LINC00240,COVID-19
LINC00240,Esophageal Cancer
LINC00240,Esophagus Squamous Cell Carcinoma
LINC00240,Gastric Cancer
LINC00240,Hepatocellular Carcinoma
LINC00240,Non-Small Cell Lung Cancer
LINC00240,Thyroid Cancer
HOXA-AS3,Astrocytoma
HOXA-AS3,Breast Cancer
HOXA-AS3,COVID-19
HOXA-AS3,Esophageal Cancer
HOXA-AS3,Gastric Cancer
HOXA-AS3,Glioblastoma
HOXA-AS3,Glioma
