lncRNA,miRNA
TP73-AS1,hsa-miR-103a-3p
TP73-AS1,hsa-miR-107
TP73-AS1,hsa-miR-124-3p
TP73-AS1,hsa-miR-125a-3p
TP73-AS1,hsa-miR-128-3p
TP73-AS1,hsa-miR-141-3p
TP73-AS1,hsa-miR-154-5p
TP73-AS1,hsa-miR-193a-3p
TP73-AS1,hsa-miR-193b-3p
TP73-AS1,hsa-miR-194-5p
TP73-AS1,hsa-miR-197-3p
TP73-AS1,hsa-miR-200a-3p
TP73-AS1,hsa-miR-27a-3p
TP73-AS1,hsa-miR-27b-3p
TP73-AS1,hsa-miR-31-5p
TP73-AS1,hsa-miR-326
TP73-AS1,hsa-miR-329-3p
TP73-AS1,hsa-miR-330-5p
TP73-AS1,hsa-miR-362-3p
TP73-AS1,hsa-miR-485-5p
TP73-AS1,hsa-miR-488-3p
TP73-AS1,hsa-miR-490-3p
TP73-AS1,hsa-miR-494-3p
TP73-AS1,hsa-miR-506-3p
TP73-AS1,hsa-miR-539-5p
TP73-AS1,hsa-miR-599
NPPA-AS1,hsa-miR-7-5p
PINK1-AS,hsa-miR-1271-5p
PINK1-AS,hsa-miR-134-5p
PINK1-AS,hsa-miR-141-3p
PINK1-AS,hsa-miR-200a-3p
PINK1-AS,hsa-miR-3118
PINK1-AS,hsa-miR-96-5p
LINC00339,hsa-miR-128-3p
LINC00339,hsa-miR-130a-3p
LINC00339,hsa-miR-130b-3p
LINC00339,hsa-miR-148a-3p
LINC00339,hsa-miR-148b-3p
LINC00339,hsa-miR-152-3p
LINC00339,hsa-miR-15a-5p
LINC00339,hsa-miR-15b-5p
LINC00339,hsa-miR-16-5p
LINC00339,hsa-miR-195-5p
LINC00339,hsa-miR-19a-3p
LINC00339,hsa-miR-19b-3p
LINC00339,hsa-miR-214-3p
LINC00339,hsa-miR-218-5p
LINC00339,hsa-miR-219a-5p
LINC00339,hsa-miR-301a-3p
LINC00339,hsa-miR-338-3p
LINC00339,hsa-miR-3619-5p
LINC00339,hsa-miR-3666
LINC00339,hsa-miR-377-3p
LINC00339,hsa-miR-424-5p
LINC00339,hsa-miR-4295
LINC00339,hsa-miR-454-3p
LINC00339,hsa-miR-4782-3p
LINC00339,hsa-miR-497-5p
LINC00339,hsa-miR-539-5p
LINC00339,hsa-miR-761
SNHG3,hsa-miR-135a-5p
SNHG3,hsa-miR-135b-5p
SNHG3,hsa-miR-139-5p
SNHG3,hsa-miR-182-5p
SNHG3,hsa-miR-186-5p
SNHG3,hsa-miR-196a-5p
SNHG3,hsa-miR-196b-5p
SNHG3,hsa-miR-216a-5p
SNHG3,hsa-miR-326
SNHG3,hsa-miR-330-5p
SNHG3,hsa-miR-340-5p
SNHG3,hsa-miR-371a-5p
SNHG3,hsa-miR-384
SNHG3,hsa-miR-485-5p
SNHG3,hsa-miR-544a
SNHG3,hsa-miR-758-3p
SNHG12,hsa-miR-138-5p
SNHG12,hsa-miR-15a-5p
SNHG12,hsa-miR-15b-5p
SNHG12,hsa-miR-16-5p
SNHG12,hsa-miR-181a-5p
SNHG12,hsa-miR-181b-5p
SNHG12,hsa-miR-181c-5p
SNHG12,hsa-miR-181d-5p
SNHG12,hsa-miR-195-5p
SNHG12,hsa-miR-197-3p
SNHG12,hsa-miR-199a-5p
SNHG12,hsa-miR-199b-5p
SNHG12,hsa-miR-320b
SNHG12,hsa-miR-320c
SNHG12,hsa-miR-320d
SNHG12,hsa-miR-424-5p
SNHG12,hsa-miR-4262
SNHG12,hsa-miR-4429
SNHG12,hsa-miR-494-3p
SNHG12,hsa-miR-497-5p
SNHG12,hsa-miR-503-5p
MATN1-AS1,hsa-miR-200b-3p
MATN1-AS1,hsa-miR-200c-3p
MATN1-AS1,hsa-miR-429
KDM4A-AS1,hsa-miR-185-5p
KDM4A-AS1,hsa-miR-4306
KDM4A-AS1,hsa-miR-455-5p
KDM4A-AS1,hsa-miR-4644
ERI3-IT1,hsa-miR-134-5p
ERI3-IT1,hsa-miR-149-5p
ERI3-IT1,hsa-miR-15a-5p
ERI3-IT1,hsa-miR-15b-5p
ERI3-IT1,hsa-miR-16-5p
ERI3-IT1,hsa-miR-195-5p
ERI3-IT1,hsa-miR-24-3p
ERI3-IT1,hsa-miR-3118
ERI3-IT1,hsa-miR-424-5p
ERI3-IT1,hsa-miR-497-5p
FOXD2-AS1,hsa-miR-150-5p
FOXD2-AS1,hsa-miR-185-5p
FOXD2-AS1,hsa-miR-4306
lnc-LRP8-4,hsa-miR-106a-5p
lnc-LRP8-4,hsa-miR-106b-5p
lnc-LRP8-4,hsa-miR-17-5p
lnc-LRP8-4,hsa-miR-204-5p
lnc-LRP8-4,hsa-miR-20a-5p
lnc-LRP8-4,hsa-miR-20b-5p
lnc-LRP8-4,hsa-miR-211-5p
lnc-LRP8-4,hsa-miR-216b-5p
lnc-LRP8-4,hsa-miR-302a-3p
lnc-LRP8-4,hsa-miR-302b-3p
lnc-LRP8-4,hsa-miR-302c-3p
lnc-LRP8-4,hsa-miR-302d-3p
lnc-LRP8-4,hsa-miR-302e
lnc-LRP8-4,hsa-miR-340-5p
lnc-LRP8-4,hsa-miR-3529-5p
