,disease,hist_lncRNA,pre_hist_lncRNA,value,len_hist_disease,len_pre_hist_lncRNA
0,Abortion spontaneous,"['NEAT1', 'AP1G2-AS1', 'MIR663AHG', 'LINC02878', 'CDKN2B-AS1', 'XIST']","['LINC00630', 'MUC20-OT1', 'AGBL4-IT1', 'RASA3-IT1', 'TMPO-AS1', 'CEROX1', 'KRTAP5-AS1', 'DISP1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'SORL1-AS1', 'MELTF-AS1', 'MIR3936HG', 'LINC01783', 'GNAS-AS1', 'LINC02820', 'LINC00242', 'THUMPD3-AS1', 'CHROMR', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'MEG8', 'SNHG6', 'KTN1-AS1', 'HOXA10-AS', 'PCF11-AS1', 'LINC01689', 'PRMT5-DT', 'LINC01915', 'LINC00882', 'MAP4K3-DT', 'LINC-PINT', 'LINC00511', 'LINC01703', 'PRR7-AS1', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'FGD5-AS1', 'SNHG15', 'LINC00960', 'PSMA3-AS1', 'SCARNA9', 'LINC00525', 'LINC00661', 'RNF139-DT', 'ZNF790-AS1']",0,6,50
1,Acute kidney injury,"['NUTM2A-AS1', 'H19', 'NEAT1', 'ESAM-AS1', 'LINC00662', 'TMEM147-AS1', 'ZNF793-AS1', 'CYTOR', 'TTN-AS1', 'TRPM2-AS', 'TTC28-AS1', 'FGD5-AS1', 'LINC00960', 'DUBR', 'DLG1-AS1', 'CTBP1-DT', 'HCG18', 'HOTAIRM1', 'EPHA1-AS1', 'RNF139-DT', 'XIST', 'LINC00630']","['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'TMPO-AS1', 'RASA3-IT1', 'CEROX1', 'KRTAP5-AS1', 'DISP1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'MELTF-AS1', 'SORL1-AS1', 'LINC01783', 'MIR3936HG', 'LINC02820', 'GNAS-AS1', 'LINC00242', 'CHROMR', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'MEG8', 'KTN1-AS1', 'PCF11-AS1', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC01915', 'LINC00882', 'MAP4K3-DT', 'LINC-PINT', 'PRR7-AS1', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'LINC01703', 'SNHG15', 'FGD5-AS1', 'LINC00960', 'PSMA3-AS1', 'LINC00525', 'SCARNA9', 'RNF139-DT', 'LINC00661', 'ZNF790-AS1']",6,22,50
2,Acute leukemia,"['LINC01654', 'SNHG3', 'GAS5', 'H19', 'NEAT1', 'PRMT5-DT', 'ZFHX2-AS1', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'SNHG16', 'LINC00661', 'FGD5-AS1', 'NOP14-AS1', 'HCG18', 'HOXA10-AS', 'UBR5-DT', 'LINC00963', 'XIST', 'LINC00893']","['DLG1-AS1', 'NUTM2A-AS1', 'ZFHX2-AS1', 'LINC00894', 'DUXAP8', 'OGFRP1', 'CAPN10-DT', 'FOXN3-AS1', 'RASSF8-AS1', 'LEMD1-AS1', 'LINC00662', 'DLEU2', 'NR2F1-AS1', 'EPHA1-AS1', 'C1RL-AS1', 'SNHG21', 'MIR4500HG', 'DNAJC3-DT', 'OLMALINC', 'ENTPD1-AS1', 'LINC02802', 'CASC2', 'RAB30-DT', 'LINC01679', 'NINJ2-AS1', 'TEX41', 'ZBED9-AS1', 'LINC00649', 'USP38-DT', 'SRGAP3-AS2', 'INTS6-AS1', 'LINC02086', 'NIFK-AS1', 'RPAP3-DT', 'MATN1-AS1', 'TOB1-AS1', 'LINC01194', 'LINC02432', 'GABPB1-AS1', 'EIF3J-DT', 'PVT1', 'H1-10-AS1', 'PRKCH-AS1', 'JPX', 'NNT-AS1', 'LRRTM4-AS1', 'LINC00638', 'MIR600HG', 'SOX9-AS1', 'SNHG5']",1,18,50
3,Acute liver failure,"['DHCR24-DT', 'ASB16-AS1', 'PCBP1-AS1', 'GARS1-DT', 'CDKN2B-AS1', 'SNHG7', 'XIST', 'LINC01270']","['LINC00630', 'MUC20-OT1', 'AGBL4-IT1', 'RASA3-IT1', 'TMPO-AS1', 'CEROX1', 'KRTAP5-AS1', 'DISP1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'SORL1-AS1', 'MELTF-AS1', 'MIR3936HG', 'LINC01783', 'LINC02820', 'GNAS-AS1', 'LINC00242', 'THUMPD3-AS1', 'CHROMR', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'MEG8', 'SNHG6', 'KTN1-AS1', 'HOXA10-AS', 'PCF11-AS1', 'PRMT5-DT', 'LINC01689', 'LINC01915', 'LINC00882', 'MAP4K3-DT', 'LINC-PINT', 'LINC00511', 'PRR7-AS1', 'LINC01703', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'FGD5-AS1', 'SNHG15', 'LINC00960', 'PSMA3-AS1', 'SCARNA9', 'LINC00525', 'RNF139-DT', 'LINC00661', 'ZNF790-AS1']",0,8,50
4,Acute lymphoblastic leukemia,"['LINC00339', 'CCDC18-AS1', 'GAS5', 'HOTAIR', 'DHRS4-AS1', 'OIP5-AS1', 'EIF3J-DT', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'SNHG16', 'MIR646HG', 'HCP5', 'SCIRT', 'LINC01393', 'PVT1', 'ZNF252P-AS1', 'DDX19A-DT', 'MIR497HG']","['LINC00630', 'RASA3-IT1', 'MUC20-OT1', 'CEROX1', 'DISP1', 'AGBL4-IT1', 'SORL1-AS1', 'TMPO-AS1', 'KRTAP5-AS1', 'ESAM-AS1', 'SNHG12', 'LINC02397', 'MELTF-AS1', 'UBL7-DT', 'MIR3936HG', 'GNAS-AS1', 'LINC01783', 'MEG8', 'THUMPD3-AS1', 'LINC02820', 'LINC00242', 'LINC01703', 'KTN1-AS1', 'HOXA10-AS', 'ATP6V1B1-AS1', 'LINC01915', 'SNHG6', 'LINC01689', 'OXR1', 'SNHG20', 'PCF11-AS1', 'CHROMR', 'LINC00882', 'PRMT5-DT', 'LINC02616', 'SNHG29', 'LINC01224', 'LINC00661', 'MAP4K3-DT', 'LINC00511', 'TSPOAP1-AS1', 'FGD5-AS1', 'LINC00960', 'TTC28-AS1', 'LINC-PINT', 'PSMA3-AS1', 'SCARNA9', 'SNHG15', 'CASC8', 'LHX1-DT']",0,17,50
5,Acute lymphocytic leukemia,"['LINC00339', 'CCDC18-AS1', 'GAS5', 'HOTAIR', 'DHRS4-AS1', 'OIP5-AS1', 'EIF3J-DT', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'SNHG16', 'MIR646HG', 'HCP5', 'SCIRT', 'LINC01393', 'PVT1', 'ZNF252P-AS1', 'DDX19A-DT', 'MIR497HG']","['DLG1-AS1', 'ZFHX2-AS1', 'NUTM2A-AS1', 'OGFRP1', 'DUXAP8', 'LINC00894', 'CAPN10-DT', 'FOXN3-AS1', 'RASSF8-AS1', 'LEMD1-AS1', 'LINC00662', 'DLEU2', 'NR2F1-AS1', 'EPHA1-AS1', 'C1RL-AS1', 'SNHG21', 'ENTPD1-AS1', 'LINC02802', 'OLMALINC', 'MIR4500HG', 'DNAJC3-DT', 'RAB30-DT', 'CASC2', 'LINC01679', 'NINJ2-AS1', 'TEX41', 'ZBED9-AS1', 'LINC00649', 'USP38-DT', 'SRGAP3-AS2', 'INTS6-AS1', 'LINC02086', 'NIFK-AS1', 'MATN1-AS1', 'RPAP3-DT', 'TOB1-AS1', 'LINC02432', 'LINC01194', 'EIF3J-DT', 'GABPB1-AS1', 'PVT1', 'H1-10-AS1', 'JPX', 'PRKCH-AS1', 'NNT-AS1', 'LRRTM4-AS1', 'MIR600HG', 'LINC00638', 'SOX9-AS1', 'SNHG5']",2,17,50
6,Acute myelocytic leukemia,"['LINC01128', 'SNHG12', 'LINC01641', 'NUTM2A-AS1', 'LMNTD2-AS1', 'NEAT1', 'SORL1-AS1', 'INTS6-AS1', 'AP1G2-AS1', 'SNHG14', 'OIP5-AS1', 'FMNL1-DT', 'LINC01915', 'LINC00662', 'IGFL2-AS1', 'PCBP1-AS1', 'LRRTM4-AS1', 'LINC01806', 'MIR663AHG', 'GNAS-AS1', 'THUMPD3-AS1', 'PSMD6-AS1', 'PURPL', 'CKMT2-AS1', 'NR2F1-AS1', 'MIR3936HG', 'HCG18', 'SNHG5', 'GARS1-DT', 'LINC02878', 'CDKN2B-AS1', 'DAPK1-IT1', 'LINC00963', 'SNHG7', 'XIST']","['LINC00630', 'AGBL4-IT1', 'TMPO-AS1', 'MUC20-OT1', 'KRTAP5-AS1', 'RASA3-IT1', 'CEROX1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'DISP1', 'MELTF-AS1', 'LINC01783', 'SORL1-AS1', 'MIR3936HG', 'LINC02820', 'CHROMR', 'LINC00242', 'GNAS-AS1', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'PCF11-AS1', 'KTN1-AS1', 'PRMT5-DT', 'MEG8', 'HOXA10-AS', 'LINC01689', 'LINC00882', 'PRR7-AS1', 'LINC01915', 'LINC-PINT', 'MAP4K3-DT', 'LINC00511', 'TTC28-AS1', 'SNHG15', 'SNHG29', 'TSPOAP1-AS1', 'FGD5-AS1', 'RNF139-DT', 'LINC00525', 'PSMA3-AS1', 'LINC00960', 'SCARNA9', 'LINC01703', 'ZNF790-AS1', 'LINC00661']",6,35,50
7,Acute myelogeneous leukemia,"['GAS5', 'H19', 'RAD51-AS1', 'OIP5-AS1', 'LINC00511', 'SNHG20', 'MIAT', 'THUMPD3-AS1', 'LIFR-AS1', 'HCP5', 'HOXA-AS3', 'HOXA10-AS', 'GARS1-DT', 'LINC02878', 'EBLN3P', 'XIST', 'ZNF232-AS1', 'LINC01270']","['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'TMPO-AS1', 'RASA3-IT1', 'KRTAP5-AS1', 'CEROX1', 'LINC02397', 'ESAM-AS1', 'DISP1', 'SNHG12', 'UBL7-DT', 'MELTF-AS1', 'LINC01783', 'SORL1-AS1', 'MIR3936HG', 'LINC02820', 'CHROMR', 'LINC00242', 'GNAS-AS1', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'KTN1-AS1', 'PCF11-AS1', 'MEG8', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC00882', 'LINC01915', 'MAP4K3-DT', 'LINC-PINT', 'PRR7-AS1', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'SNHG15', 'FGD5-AS1', 'LINC00960', 'RNF139-DT', 'LINC01703', 'PSMA3-AS1', 'LINC00525', 'SCARNA9', 'LINC00661', 'ZNF790-AS1']",4,18,50
8,Acute myelogenous leukemia,"['LINC01128', 'LINC00339', 'SNHG12', 'CCDC18-AS1', 'WARS2-AS1', 'GAS5', 'PRKCQ-AS1', 'H19', 'NEAT1', 'NINJ2-AS1', 'HOTAIR', 'INTS6-AS1', 'SNHG14', 'OIP5-AS1', 'EIF3J-DT', 'SNHG16', 'SNHG20', 'IGFL2-AS1', 'LRRTM4-AS1', 'LINC00342', 'LINC01806', 'HAGLR', 'KANSL1L-AS1', 'MIR646HG', 'LINC00313', 'MCM3AP-AS1', 'THUMPD3-AS1', 'FGD5-AS1', 'PSMD6-AS1', 'TM4SF19-AS1', 'LINC01096', 'PURPL', 'HCP5', 'SCIRT', 'HOXA10-AS', 'GARS1-DT', 'SLC26A4-AS1', 'LINC01393', 'MCPH1-DT', 'PVT1', 'ZNF252P-AS1', 'CDKN2B-AS1', 'SNHG7', 'XIST', 'MIR497HG']","['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'RASA3-IT1', 'TMPO-AS1', 'CEROX1', 'KRTAP5-AS1', 'DISP1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'SORL1-AS1', 'MELTF-AS1', 'MIR3936HG', 'LINC01783', 'LINC02820', 'GNAS-AS1', 'LINC00242', 'THUMPD3-AS1', 'CHROMR', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'MEG8', 'SNHG6', 'KTN1-AS1', 'HOXA10-AS', 'PCF11-AS1', 'PRMT5-DT', 'LINC01689', 'LINC01915', 'LINC00882', 'MAP4K3-DT', 'LINC-PINT', 'LINC00511', 'PRR7-AS1', 'TTC28-AS1', 'LINC01703', 'SNHG29', 'TSPOAP1-AS1', 'FGD5-AS1', 'SNHG15', 'LINC00960', 'PSMA3-AS1', 'SCARNA9', 'LINC00525', 'RNF139-DT', 'LINC00661', 'ZNF790-AS1']",5,45,50
9,Acute myeloid leukemia,"['LINC01128', 'LINC01654', 'LINC00339', 'SNHG12', 'ERI3-IT1', 'CCDC18-AS1', 'WARS2-AS1', 'LINC01719', 'GAS5', 'DISP1', 'LINC01641', 'PRKCQ-AS1', 'ST8SIA6-AS1', 'NUTM2A-AS1', 'LMNTD2-AS1', 'H19', 'SNHG1', 'NEAT1', 'LINC01537', 'SORL1-AS1', 'NINJ2-AS1', 'HOTAIR', 'LINC02397', 'INTS6-AS1', 'MIR4500HG', 'LINC00641', 'PRMT5-DT', 'ZFHX2-AS1', 'AP1G2-AS1', 'DHRS4-AS1', 'LINC01588', 'PSMA3-AS1', 'FOXN3-AS1', 'SNHG14', 'RAD51-AS1', 'OIP5-AS1', 'EIF3J-DT', 'GABPB1-AS1', 'ALDH1A3-AS1', 'ASB16-AS1', 'FMNL1-DT', 'LINC00511', 'SNHG16', 'SNHG20', 'LINC00482', 'ZNF407-AS1', 'LINC00661', 'LINC00662', 'IGFL2-AS1', 'PTOV1-AS1', 'A1BG-AS1', 'PCBP1-AS1', 'LRRTM4-AS1', 'LINC00342', 'LINC01806', 'HAGLR', 'TTN-AS1', 'KANSL1L-AS1', 'MFF-DT', 'CAPN10-DT', 'MIR663AHG', 'SNHG17', 'GNAS-AS1', 'MIR646HG', 'LINC00313', 'LINC00163', 'MCM3AP-AS1', 'MIAT', 'THUMPD3-AS1', 'FGD5-AS1', 'PSMD6-AS1', 'DUBR', 'TM4SF19-AS1', 'CTBP1-DT', 'NOP14-AS1', 'LINC01096', 'TAPT1-AS1', 'MIR302CHG', 'PURPL', 'LIFR-AS1', 'CKMT2-AS1', 'NR2F1-AS1', 'LINC01184', 'MALINC1', 'PRR7-AS1', 'HCG18', 'HCP5', 'SCIRT', 'HOXA-AS3', 'HOXA10-AS', 'HOXA11-AS', 'GARS1-DT', 'SNHG15', 'MAGI2-AS3', 'SLC26A4-AS1', 'LINC01393', 'LINC00689', 'MCPH1-DT', 'TNFRSF10A-DT', 'SNHG6', 'RIPK2-DT', 'GASAL1', 'OXR1', 'OXR1-AS1', 'PVT1', 'LINC02878', 'ZNF252P-AS1', 'CDKN2B-AS1', 'EBLN3P', 'FAM201A', 'LINC00963', 'NALT1', 'SNHG7', 'XIST', 'LINC00893', 'LINC00894', 'FENDRR', 'ZNF232-AS1', 'MIR497HG', 'CCDC144NL-AS1', 'LINC01270']","['LINC00630', 'AGBL4-IT1', 'TMPO-AS1', 'MUC20-OT1', 'KRTAP5-AS1', 'CEROX1', 'RASA3-IT1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'DISP1', 'LINC01783', 'MELTF-AS1', 'CHROMR', 'LINC02820', 'SORL1-AS1', 'MIR3936HG', 'LINC00242', 'GNAS-AS1', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'PCF11-AS1', 'KTN1-AS1', 'PRMT5-DT', 'HOXA10-AS', 'MEG8', 'LINC01689', 'LINC00882', 'PRR7-AS1', 'LINC-PINT', 'MAP4K3-DT', 'LINC01915', 'LINC00511', 'TTC28-AS1', 'SNHG15', 'TSPOAP1-AS1', 'SNHG29', 'RNF139-DT', 'FGD5-AS1', 'LINC00525', 'PSMA3-AS1', 'SCARNA9', 'LINC00960', 'ZNF790-AS1', 'LINC01703', 'LINC00661']",17,121,50
